benchmark,cnt,sat,unsat,unknown
FASTJSON-104_1,102,77,21,4
FASTJSON-105_1,332,252,73,7
FASTJSON-15_1,17,5,6,6
FASTJSON-17_1,8,6,2,0
FASTJSON-19_1,143,94,40,9
FASTJSON-25_1,5,3,2,0
FASTJSON-26_1,285,78,185,22
FASTJSON-31_1,81,19,50,12
FASTJSON-32_1,134,0,98,36
FASTJSON-39_1,41,33,8,0
FASTJSON-49_1,40,16,17,7
FASTJSON-4_1,157,82,75,0
FASTJSON-50_1,271,196,50,25
FASTJSON-59_1,109,107,2,0
FASTJSON-64_1,32,25,7,0
FASTJSON-72_1,94,41,53,0
FASTJSON-79_1,113,2,111,0
FASTJSON-85_1,79,64,15,0
FASTJSON-93_1,85,45,40,0
FASTJSON-9_1,75,30,45,0
GUAVA-110_1,211,131,63,17
GUAVA-114_1,461,34,309,118
GUAVA-115_1,40,16,24,0
GUAVA-153_1,50,45,2,3
GUAVA-174_1,248,114,124,10
GUAVA-197_1,62,50,9,3
GUAVA-249_1,57,54,1,2
GUAVA-260_1,479,237,236,6
GUAVA-275_1,119,44,72,3
GUAVA-45_1,117,97,14,6
GUAVA-6_1,138,84,47,7
GUAVA-71_1,209,122,83,4
GUAVA-78_1,169,88,60,21
GUAVA-85_1,137,49,69,19
SEATA-14_1,76,31,45,0
SEATA-16_1,21,9,8,4
SEATA-24_1,36,14,22,0
SEATA-32_1,18,7,11,0
SEATA-4_1,1,1,0,0
SPOON-101_1,27,15,8,4
SPOON-103_1,23,6,11,6
SPOON-107_1,92,60,10,22
SPOON-11_1,15,9,0,6
SPOON-13_1,23,5,12,6
SPOON-151_1,1198,122,1037,39
SPOON-155_1,77,12,56,9
SPOON-157_1,25,17,2,6
SPOON-159_1,131,57,67,7
SPOON-163_1,28,20,3,5
SPOON-165_1,41,12,16,13
SPOON-167_1,12,11,1,0
SPOON-169_1,17,6,5,6
SPOON-19_1,18,18,0,0
SPOON-9_1,71,60,8,3
